No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2
4,7,1,23.455,15.28666667,9903.7,-116.798987,32.46999,-116.884697,32.448722,-2.569999997,DP,2
1,1,1,2.770555556,9.778333333,3637.2,-116.897657,32.501793,-116.934375,32.49265,-4.778333333,DP,2
6,1,1,2.898055556,9.823333333,8480.3,-116.934508,32.492618,-117.010385,32.525525,-1.173333333,INCREMENTO,1
5,1,1,9.553055556,5.256666667,1920.9,-116.962617,32.508508,-116.956319,32.508061,1.676666666,INCREMENTO,1
7,1,1,12.27111111,18.87333333,8502.7,-116.844321,32.504168,-116.908061,32.499744,-0.873333333,INCREMENTO,1
3,1,1,14.26333333,14.44,6671.5,-116.977389,32.516431,-117.031659,32.522503,-1.44,INCREMENTO,1
5,1,1,15.00527778,3.376666667,1469.9,-116.962523,32.508591,-116.954013,32.505769,2.64,INCREMENTO,1
7,1,1,15.6225,1.86,683,-116.868064,32.499364,-116.868624,32.494262,0.573333333,INCREMENTO,1
5,1,1,16.00222222,10.1,3532.4,-116.960984,32.507479,-116.944021,32.519266,-4.166666667,DP,2
5,1,1,17.75138889,4.076666667,2569.1,-116.984599,32.515617,-116.964115,32.50678,0.456666666,INCREMENTO,1
6,1,1,19.19055556,5.086666667,1710.6,-117.02295,32.52126,-117.031498,32.52249,-2.636666667,DP,2
6,1,1,20.88916667,9.108333333,3762.5,-116.944903,32.516262,-116.965022,32.51691,-2.141666666,DP,2
6,1,1,21.91944444,20.75833333,10245.3,-116.961552,32.513413,-116.88304,32.540442,-5.341666663,DP,2
7,2,1,6.3775,13.57833333,6352.8,-116.869676,32.491929,-116.884766,32.448679,-2.645000003,DP,2
5,2,1,7.571111111,7.268333333,4005.2,-116.96077,32.505812,-116.989289,32.517441,-3.268333333,DP,2
4,2,1,8.995555556,7.91,2227.6,-116.868772,32.494282,-116.86263,32.507915,-2.66,DP,2
6,2,1,11.04638889,1.611666667,417.6,-116.964143,32.506663,-116.967068,32.50669,1.721666666,INCREMENTO,1
6,2,1,12.05972222,20.595,5145.9,-116.959772,32.528093,-116.990432,32.525363,-8.66166667,DM,3
6,2,1,12.65055556,8.726666667,1272.3,-116.960082,32.501303,-116.9658,32.498678,-5.71,DP,2
6,2,1,13.06527778,17.56666667,9316.3,-116.966275,32.507142,-116.9246,32.539975,-6.316666667,DP,2
6,2,1,15.14166667,1.445,232.8,-116.955098,32.498057,-116.953538,32.499685,-0.445,INCREMENTO,1
6,2,1,16.35611111,12.30833333,9949.5,-116.927698,32.48529,-117.009472,32.52148,7.208333337,INCREMENTO,1
