No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
2,4,2,18.06972222,16.16666667,6132,-116.885207,32.448127,-116.907867,32.480672,-3.283333333,DP,2,,,
4,4,2,18.13638889,6.516666667,2304,-116.884192,32.500893,-116.86854,32.494288,-0.733333333,INCREMENTO,1,,,
6,4,2,18.81194444,0.666666667,148,-116.956522,32.507043,-116.956193,32.50824,2.066666667,INCREMENTO,1,,,
2,4,2,19.7175,36.25,21077,-116.73139,32.401332,-116.869892,32.451853,-11.88333333,DM,3,,,
6,4,2,19.90722222,8.5,2019,-116.970645,32.494912,-116.9883,32.493223,-1.75,INCREMENTO,1,,,
3,4,2,20.6575,20.7,6703,-116.83952,32.472976,-116.884573,32.448763,-5.7,DP,2,,,
5,5,2,10.04694444,3.533333333,2107,-116.954804,32.533394,-116.963213,32.519283,6.466666667,INCREMENTO,1,,,
3,5,2,10.58194444,18.35,6110,-116.861431,32.506457,-116.827453,32.498271,-12.41666667,DM,3,,,
6,5,2,11.2475,6.133333333,1884,-116.892097,32.538373,-116.87716,32.543238,0.366666667,INCREMENTO,1,,,
5,5,2,11.49722222,3.633333333,1161,-116.919932,32.525844,-116.92692,32.520939,0.366666667,INCREMENTO,1,,,
1,5,2,11.73555556,2.483333333,808,-116.895821,32.515407,-116.902531,32.516256,1.516666667,INCREMENTO,1,,,
7,5,2,14.98333333,9.666666667,10678,-116.961776,32.508115,-116.884998,32.448689,3.333333333,INCREMENTO,1,,,
